step,lr,in_warmup,bc1_m_convergence,bc2_v_convergence,inv_bc2_amplification,adam_amp,effective_lr,step_noise_power,step_signal_power,signal_dominance,signal_quality,cumulative_displacement,disruption_vs_xavier_emb,disruption_vs_xavier_enc,ln_V_random_baseline,v_halflife_693
0,6e-07,1,0.09999999999999998,0.0010000000000000009,999.9999999999991,0.31622776601683816,1.8973665961010288e-07,5.993999999999999e-07,6.000000000000005e-10,0.001001001001001002,0.00010000000000000007,6e-07,2.5418103784507606e-05,9.6e-06,9.210340371976184,0.0
1,1.2e-06,1,0.18999999999999995,0.001998999999999973,500.250125062538,0.23531672532745274,2.8238007039294325e-07,1.1976011999999999e-06,2.3987999999999674e-09,0.00200300400500598,0.00037980999999999475,1.8e-06,7.625431135352282e-05,2.88e-05,9.210340371976184,0.0
2,1.8e-06,1,0.2709999999999999,0.002997000999999999,333.66688900003714,0.20201059743896788,3.6361907539014216e-07,1.7946053982e-06,5.3946017999999985e-09,0.0030060100150210273,0.0008121872709999995,3.6e-06,0.00015250862270704563,5.76e-05,9.210340371976184,0.0
3,2.4e-06,1,0.3439,0.003994003998999962,250.37531265626794,0.18376892374498516,4.4104541698796434e-07,2.3904143904024e-06,9.58560959759991e-09,0.004010020035056046,0.0013735379752560868,6e-06,0.0002541810378450761,9.6e-05,9.210340371976184,0.0
4,2.9999999999999997e-06,1,0.40950999999999993,0.004990009995000988,200.40040019996033,0.17249884690452813,5.174965407135844e-07,2.9850299700149966e-06,1.497002998500296e-08,0.005015035070126198,0.002043458993052854,9e-06,0.00038127155676761414,0.000144,9.210340371976184,0.0
5,3.6e-06,1,0.46855899999999995,0.0059850199850060015,167.08381968736188,0.16510815268402332,5.943893496624839e-07,3.5784539280539783e-06,2.1546071946021604e-08,0.006021056126252465,0.0028043349791544267,1.26e-05,0.0005337801794746597,0.0002016,9.210340371976184,0.0
6,4.2e-06,1,0.5217030999999999,0.006979034965020947,143.28628599971466,0.1601305774367997,6.725484252345587e-07,4.170688053146911e-06,2.9311946853087976e-08,0.00702808421046288,0.0036409841762598187,1.68e-05,0.000711706905966213,0.0002688,9.210340371976184,0.0
7,4.8e-06,1,0.5695327899999999,0.00797205593005601,125.4381565776313,0.15677125516997972,7.525020248159026e-07,4.761734131535731e-06,3.826586846426885e-08,0.008036120330793758,0.0045403472558808436,2.1599999999999996e-05,0.0009150517362422737,0.00034559999999999994,9.210340371976184,0.0
8,5.399999999999999e-06,1,0.6125795109999999,0.00896408387412595,111.55629666589948,0.15455764397831934,8.346112774829242e-07,5.351593947079719e-06,4.840605292028012e-08,0.009045165496290043,0.005491214116175059,2.6999999999999996e-05,0.0011438146703028423,0.00043199999999999993,9.210340371976184,0.0
9,5.999999999999999e-06,1,0.6513215599,0.009955119790251765,100.45082541138463,0.1531890739511824,9.191344437070942e-07,5.940269281258489e-06,5.973071874151058e-08,0.01005522071700699,0.00648398415077814,3.2999999999999996e-05,0.0013979957081479183,0.0005279999999999999,9.210340371976184,0.0
